Startup ID,Startup Name,Industry,Product/Service,Target Customer Segment,Region,Market Size Estimate ($M),Startup Strength,Startup Weakness,Market Opportunity,Market Threat,Political Impact Score,Economic Impact Score,Social Impact Score,Technological Impact Score,Legal Impact Score,Environmental Impact Score,Competitive Intensity Score,Risk Level,Growth Potential Score
ST001,FreshBite Solutions,FoodTech,Restaurant inventory & POS SaaS,Urban Professionals,Bengaluru,107.0,Strategic partnerships with established players,High customer churn beyond the trial period,Growing disposable income among target segment,Economic slowdown impacting discretionary spending,1,6,7,7,6,5,6,Medium,6
ST002,BrightPath Labs,EdTech,Live doubt-solving tutoring app,Tier-2/3 City Students,Southeast Asia,391.3,Strong data network effects improving with scale,Limited working capital for aggressive scaling,New regulatory framework opening up the category,Regulatory uncertainty around the sector's framework,4,3,6,9,6,3,7,Medium,6
ST003,NutriNest Labs,FoodTech,Organic food delivery platform,Health-conscious Consumers,Bengaluru,567.7,Strategic partnerships with established players,Limited working capital for aggressive scaling,Favourable government incentives for the sector,Rapid technology obsolescence and platform shifts,3,4,6,6,4,4,10,Medium,5
ST004,JurisRoot Technologies,LegalTech,Lawyer marketplace & consultation app,SMEs,Kolkata,153.4,High customer retention and repeat usage,Unproven scalability of core technology,Rising smartphone and internet penetration,Imitable business model with low switching costs,3,2,4,5,10,3,2,Medium,2
ST005,InferNest,AI/ML,Conversational AI customer support bot,Job Seekers,Mumbai,67.5,High employee retention and strong culture,High customer acquisition cost relative to LTV,Growing disposable income among target segment,Rapid technology obsolescence and platform shifts,4,6,5,10,6,5,6,Medium,6
ST006,ChargeNova,CleanTech/EV,Battery-swapping infrastructure,Logistics Companies,Mumbai,303.4,Experienced advisory board and mentor network,Low average revenue per user (ARPU),Growing disposable income among target segment,Economic slowdown impacting discretionary spending,9,4,7,8,4,10,6,Medium,6
ST007,PeopleNest,HR Tech,Employee benefits & payroll fintech,Enterprise Clients,Tier-2/3 Cities (India),587.1,Lean cost structure with healthy unit economics,Founder-dependent decision making and operations,Partnership potential with large enterprise clients,Economic slowdown impacting discretionary spending,2,3,6,8,6,1,7,Medium,7
ST008,JurisRoot Solutions,LegalTech,Contract lifecycle management SaaS,SMEs,Kolkata,354.7,Diversified and recurring revenue streams,High customer acquisition cost relative to LTV,Consolidation opportunities via M&A of smaller players,Tightening data localisation and compliance norms,5,2,3,6,9,1,6,High,2
ST009,ArenaRoot Networks,Gaming & Esports,Mobile fantasy sports platform,College Students,Kolkata,30.6,Lean cost structure with healthy unit economics,Thin operating margins in early growth phase,Partnership potential with large enterprise clients,"Talent attrition to larger, better-funded competitors",1,6,7,6,3,3,7,Low,4
ST010,MoneyMint Technologies,FinTech,UPI-based micro-lending app,Unbanked Population,Ahmedabad,368.1,Strategic partnerships with established players,Founder-dependent decision making and operations,Increasing demand for digital-first solutions,Heavy dependence on third-party aggregator platforms,4,7,5,7,7,1,7,Medium,6
